Filename,Line Number,Chinese Comment,English Translation"src/index.ts",15,"// 導入所有工具函數和 schema","// Import all tool functions and schemas"
"src/index.ts",58,"// 創建MCP服務器","// Create MCP server"
"src/index.ts",73,"// 設置全局 server 實例","// Set global server instance"
"src/index.ts",77,"// 監聽 initialized 通知來啟動 web 服務器","// Listen for initialized notification to start web server"
"src/index.ts",370,"// 建立連接","// Establish connection"
"src/models/taskModel.ts",18,"// 確保獲取專案資料夾路徑","// Ensure getting project data folder path"
"src/models/taskModel.ts",24,"// 數據文件路徑（改為異步獲取）","// Data file paths (changed to asynchronous acquisition)"
"src/models/taskModel.ts",29,"// 將exec轉換為Promise形式","// Convert exec to Promise form"
"src/models/taskModel.ts",33,"// 確保數據目錄存在","// Ensure data directory exists"
"src/models/taskModel.ts",52,"// 讀取所有任務","// Read all tasks"
"src/models/taskModel.ts",60,"// 將日期字串轉換回 Date 物件","// Convert date strings back to Date objects"
"src/models/taskModel.ts",70,"// 寫入所有任務","// Write all tasks"
"src/models/taskModel.ts",78,"// 獲取所有任務","// Get all tasks"
"src/models/taskModel.ts",84,"// 根據ID獲取任務","// Get task by ID"
"src/models/taskModel.ts",91,"// 創建新任務","// Create new task"
"src/models/taskModel.ts",124,"// 更新任務","// Update task"
"src/models/taskModel.ts",138,"// Check if task is completed，已完成的任務不允許更新（除非是明確允許的欄位）","// Check if task is completed, completed tasks cannot be updated (unless explicitly allowed fields)"
"src/models/taskModel.ts",141,"// 僅允許更新 summary 欄位（任務摘要）和 relatedFiles 欄位","// Only allow updating summary field (task summary) and relatedFiles field"
"src/models/taskModel.ts",204,"// 獲取任務並檢查是否存在","// Get task and check if it exists"
"src/models/taskModel.ts",212,"// 檢查任務是否已完成","// Check if task is completed"
"src/models/taskModel.ts",218,"// 構建更新物件，只包含實際需要更新的欄位","// Build update object, only including fields that actually need updating"
"src/models/taskModel.ts",252,"// 如果沒有要更新的內容，提前返回","// If there is no content to update, return early"
"src/models/taskModel.ts",258,"// 執行更新","// Execute update"
"src/models/taskModel.ts",279,"// 獲取任務並檢查是否存在","// Get task and check if it exists"
"src/models/taskModel.ts",287,"// 檢查任務是否已完成","// Check if task is completed"
"src/models/taskModel.ts",293,"// 執行更新","// Execute update"
"src/models/taskModel.ts",368,"// 創建新任務的列表","// Create list of new tasks"
"src/models/taskModel.ts",373,"// 檢查是否為選擇性更新模式且該任務名稱已存在","// Check if it is selective update mode and the task name already exists"
"src/models/taskModel.ts",376,"// 獲取現有任務的ID","// Get the ID of the existing task"
"src/models/taskModel.ts",380,"// 查找現有任務","// Find existing task"
"src/models/taskModel.ts",386,"// 如果找到現有任務並且該任務未完成，則更新它","// If existing task is found and not completed, update it"
"src/models/taskModel.ts",395,"// 更新任務的基本信息，但保留原始ID、創建時間等","// Update basic task information, but preserve original ID, creation time, etc."
"src/models/taskModel.ts",402,"// 後面會處理 dependencies","// Dependencies will be processed later"
"src/models/taskModel.ts",405,"// 新增：保存實現指南（如果有）","// New: Save implementation guide (if any)"
"src/models/taskModel.ts",408,"// 新增：保存驗證標準（如果有）","// New: Save verification criteria (if any)"
"src/models/taskModel.ts",411,"// 新增：保存全局分析結果（如果有）","// New: Save global analysis result (if any)"
"src/models/taskModel.ts",416,"// 處理相關文件（如果有）","// Process related files (if any)"
"src/models/taskModel.ts",422,"// 將更新後的任務添加到新任務列表","// Add updated task to new task list"
"src/models/taskModel.ts",426,"// 從tasksToKeep中移除此任務，因為它已經被更新並添加到newTasks中了","// Remove this task from tasksToKeep because it has been updated and added to newTasks"
"src/models/taskModel.ts",431,"// 創建新任務","// Create new task"
